Q9BRQ8,AIFM2
Q9H814,PHAX
Q9BSM1,PCGF1
Q99828,CIB1
Q8WXE1,ATRIP
Q7Z5L2,R3HCC1L
O43772,SLC25A20
P50440,GATM
Q96EU6,RRP36
P20930,FLG
B9EGE7,ZNF507
P30536,TSPO
P31689,DNAJA1
Q8NFG4,FLCN
H0YL62,KATNBL1
Q30134,HLA-DRB1
Q86WB0,ZC3HC1
Q8N1G1,REXO1
O00398,P2RY10
P23743,DGKA
P42336,PIK3CA
Q9H7P9,PLEKHG2
Q86UP3-5,ZFHX4
P04844,RPN2
Q13523,PRPF4B
F2Z393,TALDO1
G3V419,MLH3
P22059,OSBP
O43808,SLC25A17
C9JDR0,NSDHL
Q9UMS4,PRPF19
Q9ULU4,ZMYND8
O60271,SPAG9
Q13303-3,KCNAB2
A0A087WT67,ZNF195
Q9UBS3,DNAJB9
E7EVJ3,NDST1
Q9NRD1,FBXO6
Q9UHA3,RSL24D1
O15254,ACOX3
A0A087WV05,
A2RRP1,NBAS
Q14679,TTLL4
P04921,GYPC
H0YBY3,GM2A
B9A025,LOXL3
Q8IYS1,PM20D2
P28066,PSMA5
O75351,VPS4B
Q9NYQ7,CELSR3
Q5SXM2,SNAPC4
Q12983,BNIP3
Q9HB09,BCL2L12
Q9Y2G9,SBNO2
P10606,COX5B
Q9HBR0,SLC38A10
Q9UI43,MRM2
Q15042,RAB3GAP1
Q9H0L4,CSTF2T
Q8IWC1,MAP7D3
P03928,MT-ATP8
O15111,CHUK
Q0D2I5,IFFO1
Q9NP31,SH2D2A
Q14687,GSE1
Q9NRG9,AAAS
Q9BXS5,AP1M1
J3QRQ3,DHODH
P13682,ZNF35
Q9HCC0,MCCC2
Q9Y3A2,UTP11
P32121-4,ARRB2
C9JQ16,SNX10
Q8IY22,CMIP
P16188,HLA-A
Q8N823,ZNF611
Q6IQ26,DENND5A
Q99720,SIGMAR1
Q6P996,PDXDC1
Q9Y274,ST3GAL6
G3XAL9,SLC12A2
Q04206,RELA
Q5EE01,CENPW
P49356,FNTB
Q13823,GNL2
P30154,PPP2R1B
P50991,CCT4
Q12873,CHD3
Q9NVH2,INTS7
A6NMQ1,POLA1
Q96Q15,SMG1
Q8N3U4,STAG2
K7EP73,GAPDHS
Q99704,DOK1
Q8TD19,NEK9
H0YE29,ARHGAP1
P48047,ATP5O
P10809,HSPD1
P51553,IDH3G
H0Y7Q2,VPS50
O14965,AURKA
Q07021,C1QBP
Q96QP1,ALPK1
F8WDV0,IPO11
Q9Y289,SLC5A6
Q8IX12,CCAR1
Q4J6C6,PREPL
O95396,MOCS3
F5H2S8,PTPN22
Q96B01,RAD51AP1
Q86XI2,NCAPG2
P04035,HMGCR
P15848,ARSB
Q9NRF9,POLE3
P59923,ZNF445
F5H5D3,TUBA1C
O60518,RANBP6
Q15011,HERPUD1
Q13416,ORC2
G5E975,SMARCB1
Q8TEK8,RASSF5
P48059,LIMS1
F8VR77,PA2G4
Q9H5V9,CXorf56
O14617,AP3D1
Q96BD5,PHF21A
X6RFL8,RAB14
Q8WXD5,GEMIN6
C9JLC1,DARS
M0R050,EXOSC5
I3L0U8,DCTN5
Q5JWF2,GNAS
A0A075B772,ZNF582
E9PKB5,PPM1A
P08133,ANXA6
J3KR97,TBCD
Q6P3W7,SCYL2
O94864,SUPT7L
E9PQK8,ADNP
O75151,PHF2
P51825,AFF1
Q7LG56,RRM2B
Q9H061,TMEM126A
Q9Y6G1,TMEM14A
P13164,IFITM1
H0YKM4,LRRC28
A0A140T998,PSMB8
B7ZC39,SH3GLB2
E7EPJ2,ITSN2
Q9Y613,FHOD1
P11172,UMPS
A0A0A0MTR2,OGFOD1
O75882,ATRN
P81605,DCD
Q3LXA3,DAK; TKFC
A0A0A0MTI0,PBX1
O14494,PPAP2A; PLPP1
H0YLH9,IL16
P36954,POLR2I
Q8NBM4,UBAC2
H0Y9B7,LEMD2
Q969F1,GTF3C6
P55199,ELL
P82914,MRPS15
F8W8A5,DONSON
Q6JBY9,RCSD1
H0YKL6,FAM81A
Q92506,HSD17B8
M0QX88,VRK3
Q8TAD8,SNIP1
F8WF50,RABL3
B0I1T2,MYO1G
P13473,LAMP2
Q3B7T1,C10orf137; EDRF1
G3V4K3,VIPAS39
Q9NP77,SSU72
Q86UL3,AGPAT6; GPAT4
Q7Z7G8,VPS13B
Q01432,AMPD3
P23368,ME2
Q8IWJ2,GCC2
O96006,ZBED1
H0Y4E8,SIK3
Q9H6A0,DENND2D
Q96RE7,NACC1
Q71RC2,LARP4
Q9P0S9,TMEM14C
F8WDK3,PPP4R2
P06734,FCER2
Q86U38,NOP9
P40306,PSMB10
H3BRE0,FBXO22
O15084-1,ANKRD28
P08910,ABHD2
F8W8S8,MTMR1
O60234,GMFG
H0YJH7,TMPO
Q6KC79,NIPBL
O75964,ATP5L
P52272,HNRNPM
C9JEL3,EIF4E2
Q9NSK0,KLC4
K7EML4,WDR18
Q9P0J0-2,NDUFA13
Q86YP4,GATAD2A
Q8TEV9,SMCR8
D6R9G1,CDK7
H3BSW6,CTU2
P17030,ZNF25
A8MUM1,TSSC1; EIPR1
Q96AX1,VPS33A
Q9UBN7,HDAC6
J3QRS7,PITPNC1
Q9UH92,MLX
D3DSM0,ITGB2
Q5VZE5,NAA35
Q5TDG9,DNAJC16
Q14155,ARHGEF7
Q96AE4,FUBP1
Q5JWR5,DOPEY1
H0YKN5,TGIF2
Q9Y2X9,ZNF281
H7C352,RASGRP3
Q8IVF7,FMNL3
E5RH53,FAM82B; RMDN1
B3KNX7,PAK1
Q9H444,CHMP4B
Q8WVV9,HNRNPLL; HNRPLL
Q3MIX3,ADCK5
F8WE88,MYO5A
Q5VIR6-4,VPS53
Q9BXP5,SRRT
Q53HC0,CCDC92
Q5QPN9,LYPLA2
P25054,APC
H3BT71,RBMX
P06865,HEXA
P39748,FEN1
P34896,SHMT1
P46087,NOP2
P23284,PPIB
Q99437,ATP6V0B
Q9BX40,LSM14B
Q86V24,ADIPOR2
Q2VPB7,AP5B1
O75792,RNASEH2A
H7C3X2,YIPF4
Q9BUR4,WRAP53
Q14690,PDCD11
Q8IY18,SMC5
Q96Q27,ASB2
Q15036,SNX17
H7BXJ4,FCHO2
P04049,RAF1
P68104,EEF1A1
P19878,NCF2
O75204,TMEM127
Q9HCM1,KIAA1551
Q86Y91,KIF18B
E5RJH9,SQLE
Q12955,ANK3
Q96CG3,TIFA
F5GWB1,CCDC91
Q9BZJ0,CRNKL1
E7EW33,CYFIP2
E9PIL2,ANKRD42
Q14149,MORC3
Q9Y2W1,THRAP3
E5RH51,SMIM12
Q9NXX6,NSMCE4A
H7C3J7,ARPP21
Q9NX08,COMMD8
Q8IU68,TMC8
Q96EH5,RPL39L
J3KP75,PHACTR2
Q15642-3,TRIP10
A0A0B4J206,MARCH6
F8W088,VEZT
P82921,MRPS21
Q96GE5,ZNF799
Q9BYX4,IFIH1
A0A1B0GV71,CLN3
Q27J81,INF2
F5H2J1,MYO3B
Q14966,ZNF638
Q9NTI5,PDS5B
O76003,GLRX3
O14579,COPE
Q2TAZ0,ATG2A
H0Y7Y8,ARID4B
Q4U2R6,MRPL51
Q8N7H5,PAF1
Q14094,CCNI
A0A087WW38,CRYL1
O15047,SETD1A
M0QYV0,
K7ENW2,ZNF286A
O00398,P2RY10
O95455,TGDS
P23258,TUBG1
